parent_sctid,parent_sctid_2,parent_sctid_3,concept_sctid,fsn,pref_term,kp_clinician_display_name,icd9-CM,icd10-CM,kp_patient_display_name
,,,191813001,Chronic alcoholism in remission (disorder),Chronic alcoholism in remission,"Alcohol dependence, in remission",303.93,F10.21,"Alcohol dependence, in remission"
,,,191268006,Chronic anemia (disorder),Chronic anemia,Chronic anemia,285.9,D64.9,Anemia chronic
,,,426749004,Chronic atrial fibrillation (disorder),Chronic atrial fibrillation,"Atrial fibrillation, permanent",427.31,I48.2,Permanent atrial fibrillation
134407002,,,631000119102,Chronic back pain for greater than 3 months (finding),Chronic back pain for greater than 3 months,Chronic back pain > 3 months,338.29/724.5,M54.9,Chronic back pain greater than 3 months
,,,63480004,Chronic bronchitis (disorder),Chronic bronchitis,Chronic bronchitis,491.9,J42,Chronic bronchitis
,,,20824003,Chronic cholecystitis (disorder),Chronic cholecystitis,Chronic cholecystitis,575.11,K81.1,"Cholecystitis (inflamed gallbladder), chronic"
,,,88805009,Chronic congestive heart failure (disorder),Chronic congestive heart failure,Chronic CHF,428.0,I50.9,Chronic congestive heart failure (CHF)
,,,236069009,Chronic constipation (disorder),Chronic constipation,Chronic constipation,564.00,K59.09,"Constipation, chronic"
,,,68154008,Chronic cough (finding),Chronic cough,Chronic cough,786.2,R05,Chronic cough
404223003,,,350331000119106,Chronic deep venous thrombosis (DVT) of left leg (disorder),Chronic deep venous thrombosis of left leg,Chronic DVT of left leg,453.50,I82.502,Chronic deep venous thrombosis (DVT) of left leg
404223003,,,350341000119102,Chronic deep venous thrombosis (DVT) of right leg (disorder),Chronic deep venous thrombosis of right leg,Chronic DVT of right leg,453.50,I82.501,Chronic deep venous thrombosis (DVT) of right leg
,,,236071009,Chronic diarrhea (disorder),Chronic diarrhea,Chronic diarrhea,787.91,K52.9,"Diarrhea, chronic"
,,,441530006,Chronic diastolic heart failure (disorder),Chronic diastolic heart failure,"Diastolic heart failure, chronic",428.32,I50.32,"Diastolic heart failure, chronic"
,,,52702003,Chronic fatigue syndrome (disorder),Chronic fatigue syndrome,Chronic fatigue syndrome,780.71,R53.82,Chronic fatigue syndrome
,,,8493009,Chronic gastritis (disorder),Chronic gastritis,Chronic gastritis,535.10,K29.50,"Gastritis, chronic"
,,,128302006,Chronic hepatitis C (disorder),Chronic hepatitis C,Chronic hepatitis C,070.54,B18.2,"Hepatitis C, chronic"
50219008,,,1371000119105,Chronic hoarseness (finding),Chronic hoarseness,Chronic hoarseness,784.42,R49.0,"Hoarseness, chronic"
,,,426896000,Chronic hypercapnic respiratory failure (disorder),Chronic hypercapnic respiratory failure,Chronic hypercapnic respiratory failure,518.83,J96.12,"Hypercapnic respiratory failure, chronic"
,,,428173007,Chronic hypoxemic respiratory failure (disorder),Chronic hypoxemic respiratory failure,Chronic hypoxemic respiratory failure,518.83,J96.11,"Hypoxemic respiratory failure, chronic"
38481006,236425005,,104931000119100,Chronic kidney disease due to hypertension (disorder),Chronic kidney disease due to hypertension,Hypertensive CKD,403.90/585.9,I12.9/N18.9,"HYPERTENSIVE KIDNEY DISEASE, CHRONIC"
236425005,420279001,,771000119108,Chronic kidney disease due to type 2 diabetes mellitus (disorder),Chronic kidney disease due to type 2 diabetes mellitus,DM 2 w diabetic CKD,250.40/585.9,E11.22/N18.9,Diabetes type 2 with kidney disease
,,,431855005,Chronic kidney disease stage 1 (disorder),Chronic kidney disease stage 1,CKD stage 1 (gfr >=90),585.1,N18.1,"Chronic kidney disease, mild"
431855005,420279001,,751000119104,Chronic kidney disease stage 1 due to type 2 diabetes mellitus (disorder),Chronic kidney disease stage 1 due to type 2 diabetes mellitus,DM 2 w diabetic CKD stage 1 (gfr >= 90),250.40/585.1,E11.22/N18.1,Diabetes type 2 with mild kidney disease
,,,431856006,Chronic kidney disease stage 2 (disorder),Chronic kidney disease stage 2,CKD stage 2 (gfr 60-89),585.2,N18.2,"Chronic kidney disease, stage 2 (mild)"
38481006,431856006,,129181000119109,Chronic kidney disease stage 2 due to hypertension (disorder),Chronic kidney disease stage 2 due to hypertension,"Hypertensive CKD, stage 2 (GFR 60-89)",403.90/585.2,I12.9/N18.2,"HYPERTENSIVE, MILD CHRONIC KIDNEY DISEASE"
431856006,420279001,,741000119101,Chronic kidney disease stage 2 due to type 2 diabetes mellitus (disorder),Chronic kidney disease stage 2 due to type 2 diabetes mellitus,DM 2 w diabetic CKD stage 2 (gfr 60-89),250.40/585.2,E11.22/N18.2,Diabetes type 2 with mild kidney disease
,,,433144002,Chronic kidney disease stage 3 (disorder),Chronic kidney disease stage 3,CKD stage 3 (gfr 30-59),585.3,N18.3,"Chronic kidney disease, moderate"
236425005,,,284991000119104,Chronic kidney disease stage 3 due to benign hypertension (disorder),Chronic kidney disease stage 3 due to benign hypertension,"Benign hypertensive CKD, stage 3 (GFR 30-59)",403.10/585.3,I12.9/N18.3,"HYPERTENSIVE CHRONIC KIDNEY DISEASE, MOD"
38481006,433144002,,129171000119106,Chronic kidney disease stage 3 due to hypertension (disorder),Chronic kidney disease stage 3 due to hypertension,"Hypertensive CKD, stage 3 (GFR 30-59)",403.90/585.3,I12.9/N18.3,"HYPERTENSIVE, MODERATE CHRONIC KIDNEY DISEASE"
433144002,421893009,,90741000119107,Chronic kidney disease stage 3 due to type 1 diabetes mellitus (disorder),Chronic kidney disease stage 3 due to type 1 diabetes mellitus,DM 1 w diabetic CKD stage 3 (gfr 30-59),250.41/585.3,E10.22/N18.3,"Diabetes type 1, moderate chronic kidney disease"
433144002,420279001,,731000119105,Chronic kidney disease stage 3 due to type 2 diabetes mellitus (disorder),Chronic kidney disease stage 3 due to type 2 diabetes mellitus,DM 2 w diabetic CKD stage 3 (gfr 30-59),250.40/585.3,E11.22/N18.3,Diabetes type 2 with moderate kidney disease
,,,431857002,Chronic kidney disease stage 4 (disorder),Chronic kidney disease stage 4,CKD stage 4 (gfr 15-29),585.4,N18.4,"Chronic kidney disease, severe"
38481006,431857002,,129151000119102,Chronic kidney disease stage 4 due to hypertension (disorder),Chronic kidney disease stage 4 due to hypertension,"Hypertensive CKD, stage 4 (GFR 15-29)",403.90/585.4,I12.9/N18.4,"HYPERTENSIVE, SEVERE CHRONIC KIDNEY DISEASE"
431857002,420279001,,721000119107,Chronic kidney disease stage 4 due to type 2 diabetes mellitus (disorder),Chronic kidney disease stage 4 due to type 2 diabetes mellitus,DM 2 w diabetic CKD stage 4 (gfr 15-29),250.40/585.4,E11.22/N18.4,Diabetes type 2 with severe kidney disease
,,,433146000,Chronic kidney disease stage 5 (disorder),Chronic kidney disease stage 5,CKD stage 5 (gfr <15),585.5,N18.5,"Chronic kidney disease, severe"
433146000,420279001,,711000119100,Chronic kidney disease stage 5 due to type 2 diabetes mellitus (disorder),Chronic kidney disease stage 5 due to type 2 diabetes mellitus,DM 2 w diabetic CKD stage 5 (gfr <15),250.40/585.5,E11.22/N18.5,Diabetes type 2 with severe kidney disease
236425005,420279001,236435004,90791000119104,Chronic kidney disease with end stage renal disease on dialysis due to type 2 diabetes mellitus (disorder),Chronic kidney disease with end stage renal disease on dialysis due to type 2 diabetes mellitus,"DM 2 w diabetic CKD, ESRD on dialysis",250.40/585.6/V45.11,E11.22/N18.6/Z99.2,Diabetes type 2 on dialysis
,,,278860009,Chronic low back pain (finding),Chronic low back pain,Chronic low back pain,338.29/724.2,M54.5,Chronic low back pain
278860009,,,120601000119104,Chronic low back pain for greater than 3 months (finding),Chronic low back pain for greater than 3 months,Chronic low back pain > 3 months,338.29/724.2,M54.5,Chronic low back pain greater than 3 months
,,,92814006,"Chronic lymphoid leukemia, disease (disorder)","Chronic lymphoid leukemia, disease",Chronic lymphoid leukemia,204.10,C91.10,"Leukemia, chronic lymphoid"
,,,95657009,Chronic mixed headache syndrome (disorder),Chronic mixed headache syndrome,Mixed headache,784.0,R51,"Headache, mixed"
81680005,,,1121000119107,Chronic neck pain (finding),Chronic neck pain,Chronic neck pain,338.29/723.1,M54.2,Chronic neck pain
82423001,,,674051000119103,Chronic neck pain for greater than 3 months (finding),Chronic neck pain for greater than 3 months,Chronic neck pain > 3 months,723.1/338.29,M54.2,Chronic neck pain greater than 3 months
82423001,,,3061000119102,Chronic nonmalignant pain (finding),Chronic nonmalignant pain,Chronic nonmalignant pain,338.29,R52,Chronic nonmalignant pain
13645005,,,1761000119103,Chronic obstructive airway disease with asthma (disorder),Chronic obstructive airway disease with asthma,Asthma w COPD,493.20,J44.9,"Asthma, chronic obstructive pulmonary disease (COPD)"
,,,185086009,Chronic obstructive bronchitis (disorder),Emphysematous bronchitis,Chronic obstructive bronchitis,491.20,J44.9,"Chronic bronchitis, obstructive"
,,,13645005,Chronic obstructive lung disease (disorder),Chronic obstructive lung disease,COPD (chronic obstructive pulmonary disease),496,J44.9,Chronic obstructive pulmonary disease (COPD)
,,,82423001,Chronic pain (finding),Chronic pain,Chronic pain,338.29,R52,Chronic pain
,,,237067000,Chronic pain in female pelvis (finding),Chronic pelvic pain of female,Chronic female pelvic pain,625.9,R10.2,"Chronic pelvic pain, female"
29857009,,,136791000119103,Chronic pain in thorax (disorder),Chronic pain in thorax,Chronic thoracic pain,338.29/724.1,M54.6,Chronic thoracic pain
,,,373621006,Chronic pain syndrome (disorder),Chronic pain syndrome,Chronic pain syndrome,338.4,G89.4,Chronic pain syndrome
,,,235494005,Chronic pancreatitis (disorder),Chronic pancreatitis,Chronic pancreatitis,577.1,K86.1,"Pancreatitis (inflammation of pancreas), chronic"
,,,313182004,Chronic post-traumatic stress disorder (disorder),Chronic post-traumatic stress disorder,Chronic posttraumatic stress disorder,309.81,F43.12,Chronic posttraumatic stress disorder
,,,19905009,Chronic prostatitis (disorder),Chronic prostatitis,Chronic prostatitis,601.1,N41.1,"Prostatitis (inflammation of prostate), chronic"
59282003,,,133971000119108,Chronic pulmonary embolism (disorder),Chronic pulmonary embolism,Chronic pulmonary embolism,416.2,I27.82,Chronic pulmonary embolism
,,,236425005,Chronic renal impairment (disorder),Chronic renal impairment,CKD (chronic kidney disease),585.9,N18.9,Chronic kidney disease
,,,39871006,Chronic respiratory failure (disorder),Chronic respiratory failure,Chronic respiratory failure,518.83,J96.10,"Respiratory failure, chronic"
,,,86094006,Chronic rhinitis (disorder),Chronic rhinitis,Chronic rhinitis,472.0,J31.0,"Rhinitis (nasal congestion), chronic"
,,,40055000,Chronic sinusitis (disorder),Chronic sinusitis,Chronic sinusitis,473.9,J32.9,"Sinusitis, chronic"
,,,441481004,Chronic systolic heart failure (disorder),Chronic systolic heart failure,"Systolic heart failure, chronic",428.22,I50.22,"Systolic heart failure, chronic"
,,,230471006,Chronic tension-type headache (disorder),Chronic tension-type headache,Chronic tension headache,339.12,G44.229,"Tension headache, chronic type"
,,,90979004,Chronic tonsillitis (disorder),Chronic tonsillitis,Chronic tonsillitis,474.00,J35.01,"Tonsillitis, chronic"
,,,61977001,Chronic type B viral hepatitis (disorder),Chronic type B viral hepatitis,Chronic hepatitis B,070.32,B18.1,"Hepatitis B, chronic"
,,,51611005,Chronic urticaria (disorder),Chronic urticaria,Chronic urticaria,708.8,L50.8,"Urticaria (hives), chronic"
,,,266468003,Cirrhosis - non-alcoholic (disorder),Cirrhosis - non-alcoholic,Nonalcoholic cirrhosis,571.5,K74.60,"Cirrhosis, nonalcoholic"
,,,19943007,Cirrhosis of liver (disorder),Cirrhosis of liver,Liver cirrhosis,571.5,K74.60,Cirrhosis of liver
27156006,,,831000119103,Cirrhosis of liver due to hepatits C (disorder),Cirrhosis of liver due to hepatits C,Cirrhosis due to hepatitis C,070.70/571.5,B19.20/K74.60,"Cirrhosis, hepatitis C"
,,,19887002,Claustrophobia (finding),Claustrophobia,Claustrophobia,300.29,F40.240,Claustrophobia
254915003,,,1081571000119102,Clear cell carcinoma of left kidney (disorder),Clear cell carcinoma of left kidney,"Renal cell carcinoma, left kidney",189.0,C64.2,"Renal cell carcinoma, L kidney"
254915003,,,1081581000119104,Clear cell carcinoma of right kidney (disorder),Clear cell carcinoma of right kidney,"Renal cell carcinoma, right kidney",189.0,C64.1,"Renal cell carcinoma, R kidney"
,,,269062008,Closed fracture of cervical spine (disorder),Closed fracture of cervical spine,Cervical vertebral fx,805.00,S12.9XXA,Cervical vertebra (neck bone) fracture
17222009,,,10936641000119107,Closed fracture of distal end of left radius (disorder),Closed fracture of distal end of left radius,Left distal radius Fx,813.42,S52.502A,Left radius (forearm bone) fracture
50397009,,,10925801000119101,Closed fracture of distal end of left ulna (disorder),Closed fracture of distal end of left ulna,Left distal ulna Fx,813.43,S52.602A,Left ulna (forearm bone) fracture
17222009,,,10936601000119105,Closed fracture of distal end of right radius (disorder),Closed fracture of distal end of right radius,Right distal radius Fx,813.42,S52.501A,Right radius (forearm bone) fracture
50397009,,,10925761000119109,Closed fracture of distal end of right ulna (disorder),Closed fracture of distal end of right ulna,Right distal ulna Fx,813.43,S52.601A,Right ulna (forearm bone) fracture
42188001,,,10929681000119108,Closed fracture of left ankle (disorder),Closed fracture of left ankle,Left ankle Fx,824.8,S82.892A,Left ankle fracture
33173003,,,10929521000119105,Closed fracture of left clavicle (disorder),Closed fracture of left clavicle,Left clavicle Fx,810.00,S42.002A,Left clavicle (collarbone) fracture
20511007,,,10937921000119108,Closed fracture of left hand (disorder),Closed fracture of left hand,Left hand Fx,815.00,S62.92XA,Left hand fracture
43295006,,,10929241000119101,Closed fracture of left humerus (disorder),Closed fracture of left humerus,Left humerus Fx,812.20,S42.302A,Left humerus (upper arm bone) fracture
34268009,,,10926201000119109,Closed fracture of left lateral malleolus (disorder),Closed fracture of left lateral malleolus,Left ankle lateral malleolus Fx,824.2,S82.62XA,Left ankle lateral malleolus fracture
36924003,,,10930641000119109,Closed fracture of left metatarsal bone (disorder),Closed fracture of left metatarsal bone,Left metatarsal Fx,825.25,S92.302A,Left metatarsal (foot bone) fracture
111640008,,,10937041000119103,Closed fracture of left radius (disorder),Closed fracture of left radius,Left radius Fx,813.81,S52.92XA,Left radius (forearm bone) fracture
71555008,,,10926121000119109,Closed fracture of left ulna (disorder),Closed fracture of left ulna,Left ulna Fx,813.82,S52.202A,Left ulna (lower arm bone) fracture
,,,81639003,Closed fracture of nasal bones (disorder),Closed fracture of nasal bones,Nasal bone fx,802.0,S02.2XXA,Nose fracture
359820003,,,10932641000119108,Closed fracture of neck of left femur (disorder),Closed fracture of neck of left femur,Left femoral neck Fx,820.8,S72.002A,Left femoral neck (upper leg bone) fracture
359820003,,,10932601000119106,Closed fracture of neck of right femur (disorder),Closed fracture of neck of right femur,Right femoral neck Fx,820.8,S72.001A,Right femoral neck(upper leg bone) fracture
,,,91037003,Closed fracture of pelvis (disorder),Closed fracture of pelvis,Pelvic fx,808.8,S32.9XXA,Pelvis fracture
24424003,,,10936161000119102,Closed fracture of phalanx of finger of left hand (disorder),Closed fracture of phalanx of finger of left hand,Left finger Fx,816.00,S62.609A,Left finger fracture
24424003,,,10936121000119107,Closed fracture of phalanx of finger of right hand (disorder),Closed fracture of phalanx of finger of right hand,Right finger Fx,816.00,S62.609A,Right finger fracture
81576005,,,10931601000119102,Closed fracture of phalanx of left foot (disorder),Closed fracture of phalanx of left foot,Left toe Fx,826.0,S92.912A,Left toe fracture
81576005,,,10931561000119102,Closed fracture of phalanx of right foot (disorder),Closed fracture of phalanx of right foot,Right toe Fx,826.0,S92.911A,Right toe fracture
42188001,,,10929641000119103,Closed fracture of right ankle (disorder),Closed fracture of right ankle,Right ankle Fx,824.8,S82.891A,Right ankle fracture
33173003,,,10741801000119106,Closed fracture of right clavicle (disorder),Closed fracture of right clavicle,Right clavicle Fx,810.00,S42.001A,Right clavicle (collar bone) fracture
20511007,,,10937881000119101,Closed fracture of right hand (disorder),Closed fracture of right hand,Right hand Fx,815.00,S62.91XA,Right hand fracture
43295006,,,10929201000119103,Closed fracture of right humerus (disorder),Closed fracture of right humerus,Right humerus Fx,812.20,S42.301A,Right humerus (upper arm bone) fracture
34268009,,,10926161000119104,Closed fracture of right lateral malleolus (disorder),Closed fracture of right lateral malleolus,Right ankle lateral malleolus Fx,824.2,S82.61XA,Right ankle lateral malleolus fracture
36924003,,,10930601000119107,Closed fracture of right metatarsal bone (disorder),Closed fracture of right metatarsal bone,Right metatarsal Fx,825.25,S92.301A,Right metatarsal (foot bone) fracture
111640008,,,10937001000119100,Closed fracture of right radius (disorder),Closed fracture of right radius,Right radius Fx,813.81,S52.91XA,Right radius (forearm bone) fracture
71555008,,,10926081000119107,Closed fracture of right ulna (disorder),Closed fracture of right ulna,Right ulna Fx,813.82,S52.201A,Right ulna (forearm bone) fracture
45356009,,,10925521000119107,Closed fracture of single left rib (disorder),Closed fracture of single left rib,Left single rib Fx,807.01,S22.32XA,Left single rib fracture
45356009,,,10925481000119107,Closed fracture of single right rib (disorder),Closed fracture of single right rib,Right single rib Fx,807.01,S22.31XA,Right single rib fracture
,,,207938004,Closed fracture thoracic vertebra (disorder),Closed fracture thoracic vertebra,Thoracic vertebral fx,805.2,S22.009A,Thoracic (upper back bone) fracture
82271004,,,451000119106,Closed injury of head (disorder),Closed injury of head,Closed head injury,959.01,S09.90XA,Closed head injury
,,,423590009,Clostridium difficile colitis (disorder),Clostridium difficile colitis,C difficile colitis,008.45,A04.7,Clostridium difficile colitis infection
186431008,,,5891000119102,Clostridium difficile diarrhea (disorder),Clostridium difficile diarrhea,C difficile diarrhea,008.45,A04.7,C difficile diarrhea
,,,186431008,Clostridium difficile infection (disorder),Clostridium difficile infection,C difficile infection,041.84,B96.89,Clostridium difficile infection
,,,40917007,Clouded consciousness (finding),Clouded consciousness,Confusion,298.9,R41.0,Confusion
,,,193031009,Cluster headache syndrome (disorder),Cluster headache,Cluster headache,339.00,G44.009,"Headache, cluster"
,,,190634004,Cobalamin deficiency (disorder),Cobalamin deficiency,Vitamin B12 deficiency,266.2,E53.8,Vitamin B12 deficiency
,,,78267003,Cocaine abuse (disorder),Cocaine abuse,Cocaine abuse,305.60,F14.10,Cocaine abuse
,,,443265004,Cognitive disorder (disorder),Cognitive disorder,Cognitive disorder,294.9,F09,Cognitive disorder
,,,64226004,Colitis (disorder),Colitis,Colitis,558.9,K52.9,Colitis (colon inflammation)
,,,238744006,Comedonal acne (disorder),Comedonal acne,Comedonal acne,706.1,L70.8,Comedonal acne
118223001,,,87691000119105,Comfort care only status (finding),Comfort care only status,Comfort care only,V66.7,Z51.5,Comfort care only
,,,307132003,Common bile duct calculus (disorder),Common bile duct calculus,Choledocholithiasis,574.50,K80.50,Choledocholithiasis (common bile duct stone)
,,,82272006,Common cold (disorder),Common cold,Common cold,460,J00,Common cold
,,,385093006,Community acquired pneumonia (disorder),Community acquired pneumonia,Community acquired pneumonia,486,J18.9,Community acquired pneumonia
,,,69124005,Complete abortion (disorder),Complete abortion,Complete SAB,634.92,O03.9,Pregnancy loss
,,,27885002,Complete atrioventricular block (disorder),Complete atrioventricular block,"AV block, complete",426.0,I44.2,Complete atrioventricular block (heart beat disorder)
,,,41040004,Complete trisomy 21 syndrome (disorder),Complete trisomy 21 syndrome,"Trisomy 21, Down syndrome",758.0,Q90.9,Downs syndrome
79883001,,,15631971000119109,Complex cyst of left ovary (disorder),Complex cyst of left ovary,Left complex ovarian cyst,620.2,N83.20,Left complex ovarian cyst
79883001,,,15631931000119106,Complex cyst of right ovary (disorder),Complex cyst of right ovary,Right complex ovarian cyst,620.2,N83.20,Right complex ovarian cyst
198322002,,,10738291000119106,Complex endometrial hyperplasia without atypia (disorder),Complex endometrial hyperplasia without atypia,Complex endometrial hyperplasia wo atypia,621.32,N85.01,Complex endometrial hyperplasia
,,,4103001,Complex partial seizure with impairment of consciousness (disorder),Complex partial seizure with impairment of consciousness,Complex partial epilepsy,345.40,G40.209,"Epilepsy, partial complex"
,,,427589004,Complicated grieving (finding),Complicated grieving,Complicated bereavement,309.0,F43.21,Complicated bereavement
,,,193039006,Complicated migraine (disorder),Complicated migraine,Complex migraine,346.80,G43.809,"Migraine, complex"
74627003,422014003,,12811000119100,Complication due to type 2 diabetes mellitus (disorder),Complication due to type 2 diabetes mellitus,DM 2 w unspecified complication,250.90,E11.8,Diabetes type 2 with complication
,,,81371004,Concussion (disorder),Concussion,Concussion,850.9,S06.0X9A,Concussion
,,,44808001,Conduction disorder of the heart (disorder),Conduction disorder of the heart,Conduction disorder of heart,426.9,I45.9,Cardiac dysrhythmia (heart rhythm disorder)
,,,194417009,"Conductive hearing loss, bilateral (disorder)","Conductive hearing loss, bilateral",Bilat conductive hearing loss,389.06,H90.0,Both sides conductive hearing loss
85280007,,,15637111000119107,Congenital bilateral hammer toes (disorder),Congenital bilateral hammer toes,Congenital bilat hammer toes,755.66,Q66.89,Congenital bilateral hammer toes
,,,82525005,Congenital cystic kidney disease (disorder),Congenital cystic kidney disease,Polycystic kidney disease,753.12,Q61.3,Polycystic kidney disease
,,,268223002,Congenital fusion of labia (disorder),Congenital fusion of labia,Congenital labial fusion,752.49,Q52.5,"Labial adhesions, congenital"
66091009,400210000,,32361000119104,Congenital hemangioma (disorder),Congenital hemangioma,Congenital hemangioma,228.00,D18.00,"Hemangioma, congenital"
5132005,,,1161000119102,Congenital keratosis pilaris (disorder),Congenital keratosis pilaris,Congenital keratosis pilaris,757.39,Q82.8,"Keratosis pilaris, congenital"
85280007,,,12235781000119107,Congenital left hammer toe (disorder),Congenital left hammer toe,Congenital left hammer toe,755.66,Q66.89,Congenital left hammer toe
23407003,,,15630371000119103,Congenital left pes planus (disorder),Congenital left pes planus,Congenital left flat foot,754.61,Q66.52,Congenital left pes planus
,,,23407003,Congenital pes planus (disorder),Congenital pes planus,Congenital bilat flat foot,754.61,Q66.51/Q66.52,Congenital bilateral pes planus
,,,398696001,Congenital pigmented melanocytic nevus (disorder),Congenital pigmented melanocytic nevus,Congenital melanocytic nevus,216.9,D22.9,"Melanocytic nevus, congenital (birthmark)"
77945009,,,369071000119105,Congenital renal cyst (disorder),Congenital renal cyst,Congenital renal cyst,753.10,Q61.00,Congenital renal cyst
85280007,,,12235821000119102,Congenital right hammer toe (disorder),Congenital right hammer toe,Congenital right hammer toe,755.66,Q66.89,Congenital right hammer toe
23407003,,,15630411000119102,Congenital right pes planus (disorder),Congenital right pes planus,Congenital right flat foot,754.61,Q66.51,Congenital right pes planus
,,,82297005,Congestion of nasal sinus (disorder),Congestion of nasal sinus,Nasal sinus congestion,478.19,R09.81,Congestion of nasal sinus
,,,399020009,Congestive cardiomyopathy (disorder),Congestive cardiomyopathy,Dilated cardiomyopathy,425.4,I42.0,Dilated cardiomyopathy
,,,42343007,Congestive heart failure (disorder),Congestive heart failure,CHF (Congestive heart failure),428.0,I50.9,CHF (Congestive heart failure)
42343007,,,67441000119101,Congestive heart failure stage C (disorder),Congestive heart failure stage C,"CHF, stage C",428.0,I50.9,"CHF (CONGESTIVE HEART FAILURE), STAGE C"
42343007,128404006,,23341000119109,Congestive heart failure with right heart failure (disorder),Congestive heart failure with right heart failure,CHF w right heart failure,428.0,I50.9,Congestive left heart failure with right heart failure
,,,14760008,Constipation (disorder),Constipation,Constipation,564.00,K59.00,Constipation
,,,422065006,Constitutional short stature (disorder),Constitutional short stature,Constitutional short stature,783.43,E34.3,Short stature
,,,40275004,Contact dermatitis (disorder),Contact dermatitis,Contact dermatitis,692.9,L25.9,Contact dermatitis
,,,125667009,Contusion (disorder),Contusion,Contusion,924.9,T14.8,Contusion
,,,10050004,Contusion of chest (disorder),Contusion of chest,Chest wall contusion,922.1,S20.219A,Chest wall contusion
,,,125668004,Contusion of face (disorder),Contusion of face,Face contusion,920,S00.83XA,Face contusion
74814004,,,11864521000119103,Contusion of left foot (disorder),Contusion of left foot,Left foot contusion,924.20,S90.32XA,Left foot contusion
,,,284062002,Contusion of lower back (disorder),Contusion of lower back,Low back contusion,922.31,S30.0XXA,Low back contusion
,,,428016006,Contusion of rib (disorder),Contusion of rib,Rib contusion,922.1,S20.219A,Rib contusion
74814004,,,11864481000119103,Contusion of right foot (disorder),Contusion of right foot,Right foot contusion,924.20,S90.31XA,Right foot contusion
,,,83291003,Cor pulmonale (disorder),Cor pulmonale,Cor pulmonale,416.9,I27.81,Cor pulmonale
,,,46014006,Corn of toe (disorder),Corn of toe,Toe corn,700,L84,Corn of toe
,,,95726001,Corneal scar (disorder),Corneal scar,Corneal scar,371.00,H17.9,Corneal scar (eye condition)
,,,53741008,Coronary arteriosclerosis (disorder),Coronary arteriosclerosis,CAD (Coronary artery disease),414.00,I25.10,Coronary artery disease
53741008,,,139011000119104,Coronary arteriosclerosis after coronary artery bypass graft (disorder),Coronary arteriosclerosis after coronary artery bypass graft,CAD w hx of CABG,414.00/V45.81,I25.10/Z95.5,Coronary artery disease with history of coronary artery bypass graft (CABG)
53741008,,,1641000119107,Coronary arteriosclerosis in native artery (disorder),Coronary arteriosclerosis in native artery,CAD of native artery,414.01,I25.10,Coronary artery disease
53741008,,,103011000119106,Coronary arteriosclerosis in patient with history of previous myocardial infarction (disorder),Coronary arteriosclerosis in patient with history of previous myocardial infarction,"CAD, w Hx of MI",414.00/412,I25.10/I25.2,"Coronary artery disease, history of heart attack"
,,,64109004,Costal chondritis (disorder),Costal chondritis,Costochondritis,733.6,M94.0,Costochondritis
,,,49727002,Cough (finding),Cough,Cough,786.2,R05,Cough
,,,409663006,Cough variant asthma (disorder),Cough variant asthma,Cough variant asthma,493.82,J45.991,"Asthma, cough variant"
,,,55300003,Cramp (finding),Cramp,Cramp,729.82,R25.2,Cramp
,,,102549009,Cramp in lower leg associated with rest (finding),Cramp in lower leg associated with rest,Sleep related leg cramps,327.52,G47.62,Sleep related leg cramps
,,,34000006,Crohn's disease (disorder),Crohn's disease,Crohns disease,555.9,K50.90,Crohns disease
,,,7620006,Crohn's disease of large bowel (disorder),Crohn's disease of large bowel,Crohns disease of colon,555.1,K50.10,"Crohns disease, large intestine"
,,,71186008,Croup (disorder),Croup,Croup,464.4,J05.0,Croup
239720000,,,11859741000119109,Current meniscus tear of left knee (disorder),Current meniscus tear of left knee,Current left knee meniscus tear,836.2,S83.207A,Current left knee meniscus tear
239720000,,,11727381000119107,Current meniscus tear of right knee (disorder),Current meniscus tear of right knee,Current right knee meniscus tear,836.2,S83.206A,Current right knee meniscus tear
,,,160618006,Current non-smoker (finding),Current non-smoker,Not current smoker,V49.89,Z78.9,Not currently a smoker
302933001,,,11859581000119105,Current tear of lateral meniscus of left knee (disorder),Current tear of lateral meniscus of left knee,Current left knee lateral meniscus tear,836.1,S83.282A,Current left knee lateral meniscus tear
302933001,,,11859541000119100,Current tear of lateral meniscus of right knee (disorder),Current tear of lateral meniscus of right knee,Current right knee lateral meniscus tear,836.1,S83.281A,Current right knee lateral meniscus tear
302932006,,,11859701000119107,Current tear of medial meniscus of left knee (disorder),Current tear of medial meniscus of left knee,Current left knee medial meniscus tear,836.0,S83.242A,Current left knee medial meniscus tear
302932006,,,11859661000119100,Current tear of medial meniscus of right knee (disorder),Current tear of medial meniscus of right knee,Current right knee medial meniscus tear,836.0,S83.241A,Current right knee medial meniscus tear
441963008,,,10743311000119103,Cutis laxa of bilateral upper eyelid (disorder),Cutis laxa of bilateral upper eyelid,Bilat upper dermatochalasis,374.87,H02.831/H02.834,Bilateral upper dermatochalasis
,,,47639008,Cyst - pilonidal (disorder),Cyst - pilonidal,Pilonidal cyst,685.1,L05.91,Pilonidal cyst
399294002,,,15637791000119102,Cyst of bilateral breasts (disorder),Cyst of bilateral breasts,Bilat breast cysts,610.0,N60.01/N60.02,Bilateral breast cysts
,,,43077002,Cyst of epididymis (disorder),Cyst of epididymis,Epididymal cyst,608.89,N50.3,Cyst of epididymis
399294002,,,10734691000119101,Cyst of left breast (disorder),Cyst of left breast,Left breast cyst,610.0,N60.02,Left breast cyst
